Code,Borough,Neighborhood,Year,Population,Hectares,Square_Kilometres,Population_per_hectare,Population_per_square_kilometre,address,Latitude,Longitude
E05000564,Sutton,Sutton Central,2020,13831,131.0,1.31,105.5801527,10558.01527,"Sutton Central, Sutton, England",51.360398,-0.1906996
E05000565,Sutton,Sutton North,2020,11814,187.5,1.875,63.008,6300.8,"Sutton North, Sutton, England",52.07092065,1.364635917472472
E05000566,Sutton,Sutton South,2020,10632,127.2,1.272,83.58490566,8358.490566,"Sutton South, Sutton, England",52.07092065,1.364635917472472
E05000567,Sutton,Sutton West,2020,11536,177.9,1.7790000000000001,64.84541877,6484.541877000001,"Sutton West, Sutton, England",50.93186075,-0.6070326732975384
E05000144,Camden,Swiss Cottage,2020,15213,125.7,1.2570000000000001,121.026253,12102.6253,"Swiss Cottage, Camden, England",51.543722,-0.174982
E05000452,Lewisham,Sydenham,2020,16882,174.5,1.745,96.74498567,9674.498567,"Sydenham, Lewisham, England",51.4269433,-0.0545387
E05000364,Hounslow,Syon,2020,16632,285.2,2.852,58.31697055,5831.697055,"Syon, Hounslow, England",51.476794600000005,-0.31219337000097136
E05000645,Westminster,Tachbrook,2020,9315,44.4,0.444,209.79729730000003,20979.729730000003,"Tachbrook, Westminster, England",51.4933046,-0.1400497
E05000530,Richmond upon Thames,Teddington,2020,11186,429.6,4.296,26.03817505,2603.817505,"Teddington, Richmond upon Thames, England",51.4244662,-0.3325731
E05000453,Lewisham,Telegraph Hill,2020,17992,154.4,1.544,116.52849740000002,11652.849740000001,"Telegraph Hill, Lewisham, England",51.4686583,-0.0467923
E05000039,Barking and Dagenham,Thames,2020,18078,788.4,7.8839999999999995,22.92998478,2292.998478,"Thames, Barking and Dagenham, England",51.5286041,0.1043626
